#Average fold change data from ChIP-seq & RNA-seq across 3 growth stages (logarithmic phase, transition point, stationary phase) on minimal medium. From paper DOI: 10.1128/JB.00411-18 Supplemental file 4 https://jb.asm.org/highwire/filestream/299446/field_highwire_adjunct_files/3/JB.00411-18-sd004.xlsx#
TF	Gene	F_avg	F_sd	F_corrected	Regulation_direct	PS	PS_corrected	kd (units.mol/units.L)
"lrp"	"ybdK"	0.18	0.56	NaN	1	-	-	-
"lrp"	"hokE"	-0.04	0.65	NaN	-1	-	-	-
"lrp"	"insL-2"	0.12	0.17	NaN	1	-	-	-
"lrp"	"entD"	-0.09	1.70	NaN	-1	-	-	-
"lrp"	"fepA"	0.44	0.02	NaN	1	-	-	-
"lrp"	"fes"	1.34	1.48	NaN	1	-	-	-
"lrp"	"fepD"	0.64	0.70	NaN	1	-	-	-
"lrp"	"entS"	1.21	1.02	NaN	1	-	-	-
"lrp"	"fepB"	0.45	0.59	NaN	1	-	-	-
"lrp"	"entC"	0.27	0.00	NaN	1	-	-	-
"lrp"	"entH"	0.57	0.30	NaN	1	-	-	-
"lrp"	"cstA"	0.43	0.52	NaN	1	-	-	-
"lrp"	"ybdD"	0.49	0.40	NaN	1	-	-	-
"lrp"	"ybdH"	-0.45	0.37	NaN	-1	-	-	-
"lrp"	"ybdL"	-0.55	0.68	NaN	-1	-	-	-
"lrp"	"ybdM"	0.24	0.28	NaN	1	-	-	-
"lrp"	"ybdN"	0.16	0.32	NaN	1	-	-	-
"lrp"	"dsbG"	0.00	0.41	NaN	-1	-	-	-
"lrp"	"ahpC"	-0.17	0.14	NaN	-1	-	-	-
"lrp"	"ahpF"	-0.10	0.16	NaN	-1	-	-	-
"lrp"	"uspG"	0.36	0.34	NaN	1	-	-	-
